Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
11107,1Gvb2qDyodCVORCiSvFXkD,YUNGBLUD;Charlotte Lawrence,13 Reasons Why (Season 2),Falling Skies (feat. Charlotte Lawrence),50,202786,True,0.667,0.729,9,-5.608,0,0.0715,0.00722,0.0,0.332,0.287,129.985,4,british
16810,2Zvyb4Dw2zMXHwQlV6bRX2,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - A Classical Dawn,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 8. Variation VII",12,58306,False,0.498,0.061,3,-19.006,1,0.339,0.995,0.916,0.135,0.961,162.641,4,classical
60610,0bzF3w5jIvYOHmMkMd3GaL,WEDNESDAY CAMPANELLA,Neon,Maneki Neko,34,189135,False,0.751,0.744,11,-5.746,0,0.0519,0.01,4.45e-05,0.0695,0.86,153.956,4,j-dance
30043,5a08oj0c2yj1JxlY1Zmhdh,David Guetta,Brandneu Dance,Family Affair (Dance for Me),0,158391,False,0.869,0.726,11,-5.654,0,0.0459,0.0784,0.0,0.107,0.343,124.023,4,edm
5416,1N39dPzIxDWzscoYwz8GWp,Yasuharu Takanashi;YAIBA,BORUTO -NARUTO THE MOVIE- Original Soundtrack,Spin and Burst,49,171093,False,0.351,0.904,6,-9.037,1,0.0553,2.37e-05,0.89,0.35,0.311,180.078,4,anime
94929,4ys3qPP1YnF2IgEB2x8EOW,Sik World,Tired,Tired,53,178303,True,0.801,0.427,0,-12.785,0,0.0869,0.149,9.55e-05,0.0825,0.154,139.937,4,sad
3806,4qVR3CF8FuFvHN4L6vXlB1,Linkin Park,Meteora (Bonus Edition),Lying from You,66,175373,False,0.535,0.951,3,-3.324,0,0.18,0.00777,0.0,0.0669,0.723,160.102,4,alternative
96266,3f77I6iOw8H3Ey7VozEE3k,Jorge Aragão,Ao vivo,Enredo do meu samba - Ao vivo,42,180133,False,0.401,0.33,6,-13.829,0,0.0506,0.869,0.0,0.717,0.489,109.099,1,samba
17884,4cKQXhrbTBXBspQdrDeAPR,Kyle Edwards;DJ Smallz 732,"We Are Young, Vol. 5 (Jersey Club)",I Dont Want Your Number,15,82378,False,0.92,0.452,8,-9.494,0,0.201,0.193,0.0182,0.0574,0.814,139.999,4,club
22243,6zvhogCJ0WKzZh2A4OTYLe,Revenge The Fate,Redemption,Kashmir,27,189888,False,0.46,0.982,6,-3.511,1,0.133,7.18e-05,0.137,0.277,0.143,111.959,4,death-metal
50465,7fZRMcpTc9OaqhDKLFbqr9,Lordi,Lordiversity - Superflytrap,Macho Freak,24,222223,False,0.58,0.874,2,-5.163,0,0.0482,9.28e-05,1.89e-06,0.237,0.548,121.085,4,heavy-metal
79917,6QjDVuX5ufvEQZfo5gmBKi,Tiphaine Calvet,Views Of Nature,Views Of Nature,56,138717,False,0.485,0.0349,4,-27.584,1,0.0526,0.993,0.978,0.111,0.487,80.627,3,piano
15542,6x3TG3yKUwgYudcrH8d9sP,Shiloh Dynasty;Unclenathannn,Pure Imagination (feat. Shiloh Dynasty),Pure Imagination (feat. Shiloh Dynasty),58,99838,False,0.625,0.0307,7,-15.862,1,0.137,0.714,0.000104,0.0867,0.307,162.674,3,chill
12018,166JRCRhVhctXfAj3IRwtc,my little airport,跟你開玩笑,德州之戀,47,163754,False,0.611,0.511,7,-12.077,0,0.0498,0.511,0.413,0.114,0.652,122.023,4,cantopop
103882,3C1ITH31MUi73j4yJFK6l2,Seinabo Sey;Hannes,LUGNA LÅTAR,Rom-Com,0,200436,False,0.577,0.584,8,-8.583,1,0.0835,0.672,0.000271,0.253,0.61,93.954,4,soul
27564,3Pr1JYoRTsca5EXT41rNdl,Alix Perez;SpectraSoul,Synergy EP,So Close,18,298275,False,0.645,0.956,2,-3.467,0,0.0763,8.21e-05,0.661,0.0951,0.171,171.983,4,drum-and-bass
53313,79WthgBijQ7koBeL5Sbw2W,Joel Corry;Mabel,Upbeat 20's,I Wish,3,181728,False,0.686,0.856,9,-2.717,0,0.0426,0.0896,0.0,0.0648,0.733,123.997,4,house
67381,4bpzEGowzjzNaFa8G4oPcq,TINI;Nacho,Halloween 2022 Perreo Vol. 1,Te Quiero Más,2,205173,False,0.881,0.848,1,-3.747,0,0.0987,0.353,0.0,0.272,0.848,115.001,4,latin
7519,7zhzvOsGkawjS73IBV4kUF,Town Mountain,Steady Operator,Tarheel Boys,23,117546,False,0.413,0.663,4,-7.263,0,0.0424,0.175,0.000352,0.184,0.698,162.077,4,bluegrass
96507,0bBQ29YmU5F2vZy72WanaK,Monobloco,Arrastão Da Alegria,Pra São Jorge,38,191680,False,0.79,0.62,3,-7.445,1,0.0621,0.412,0.0,0.14,0.769,115.016,4,samba
49623,5Dydjv5Pb2ZwAhN5Piek9z,Frontliner,The Summer of Frontliner,Beam Me Into Space,21,231967,False,0.543,0.915,0,-4.658,0,0.0414,0.00242,4.29e-06,0.0571,0.55,150.007,4,hardstyle
60696,7gq31CNCaa8fFjej4GD5hz,Vybz Kartel;Lisa Mercedez;Redboom,Of Dons & Divas,Worldboss (feat. Lisa Mercedes & Redboom) [Dons],20,202352,True,0.644,0.579,2,-6.562,1,0.352,0.295,0.0,0.159,0.354,203.991,4,j-dance
90300,0I4yYE831a8SW8QIx6bz4x,Tommy James & The Shondells,Anthology,Crimson & Clover,58,209640,False,0.408,0.692,11,-9.478,1,0.0685,0.235,0.0255,0.197,0.684,82.499,4,rock-n-roll
78871,19v6qcpbiccxoX8oxv8LlJ,Ikke Hüftgold,"Dicke Titten, Kartoffelsalat","Dicke Titten, Kartoffelsalat",24,198903,True,0.598,0.954,6,-2.13,1,0.27,0.146,0.0,0.413,0.642,144.984,4,party
51345,4NQBqInyE7zvjIiP4j1dmy,Anirudh Ravichander;Arjun Kanungo;Srinidhi Venkatesh,Remo (Original Motion Picture Soundtrack),Sirikkadhey,62,245888,False,0.632,0.629,1,-7.392,1,0.0354,0.151,0.00382,0.114,0.456,87.998,4,hip-hop
3040,5yug4vHY6oGqkFI80Ya5F0,Gorillaz,Alternative Rock Mixtape,Clint Eastwood,2,340920,True,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,4,alternative
697,2Xzh9zjiKhM9YT4AcJxLkQ,Mindy Smith,Country Holiday,I'll Be Home for Christmas,0,216093,False,0.57,0.427,6,-5.873,1,0.0296,0.368,1.73e-05,0.156,0.186,98.995,4,acoustic
30413,6Dy1jexKYriXAVG6evyUTJ,Joel Corry;Jax Jones;Charli XCX;Saweetie,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),81,162603,False,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,4,edm
65740,1hIuSG6xV4RDgD8bDVKP7N,BTS,Proof,Dynamite,66,199293,False,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0933,0.737,114.044,4,k-pop
9352,5vyuPHvUj2G2SmuDFthtmj,Fabio Brazza;Atentado Napalm,Epopéia da Poeira Cósmica,Pangeia,46,338520,False,0.74,0.722,4,-6.765,1,0.246,0.606,0.0,0.108,0.76,148.935,4,brazil
83562,7lb9nshCN6cz4gYCjiRg6J,Brooks;Isabèl Usher,Someday,Someday,47,181132,False,0.652,0.802,6,-5.31,1,0.048,0.0214,0.000106,0.821,0.627,128.06,5,progressive-house
61772,60kmqqIstMxyLo45wxJDZG,Sakurako Ohara,HAPPY,Happy Days,19,252893,False,0.524,0.962,5,-1.811,1,0.061,0.0142,0.0,0.217,0.824,170.015,4,j-idol
33779,7rsUifShPeGcyX7jCAcoUF,Ketama126,RAGAZZI FUORI,RAGAZZI FUORI,35,181096,False,0.736,0.683,9,-6.516,0,0.315,0.257,0.0,0.0902,0.276,86.033,4,emo
25389,6uopsC7wCZfSZc4TfyjazT,Almklausi,Ballermann Party Mix - Alle Après Ski Hütten Hits der letzten Jahre,Eine Skifahrt die ist lustig,0,190014,False,0.696,0.989,11,-3.711,1,0.13,0.0421,0.0,0.413,0.516,141.039,4,disco
61077,4DTupyTqiWgegn1IBGLUsU,Philosophy no Dance,サンフラワー (Deluxe Edition),サンフラワー,30,254506,False,0.664,0.871,1,-3.189,0,0.0362,0.056,0.0,0.0677,0.601,119.996,4,j-idol
22075,6mRBgY035bPtHXGen5XsYg,Burgerkill;Ahmad Dhani,Satu Sisi,Satu Sisi,32,266666,False,0.468,0.865,7,-12.299,1,0.0841,4.36e-05,0.0467,0.0866,0.286,144.06,4,death-metal
80073,4XxfOvudrnBRdlgzEaq1sd,Diljit Dosanjh,G.O.A.T.,Born to Shine,69,213333,False,0.745,0.826,6,-4.339,0,0.0866,0.357,0.0,0.302,0.674,90.149,4,pop-film
78709,4C4pU60ahf7UjFwxnQdetc,Matthias Reim,Meteor,Ich geb uns nicht auf,26,222000,False,0.486,0.79,2,-5.358,1,0.0393,0.00385,0.000101,0.166,0.296,172.041,4,party
55631,0Lb2HpsqNvADo6h3WCSxW4,Joi Barua,Laila Majnu,O'Meri Laila - Radio Version,46,191137,False,0.515,0.717,8,-7.562,1,0.0531,0.331,0.0,0.118,0.54,107.062,4,indian
83014,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Motion,Summer,82,222533,False,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4,progressive-house
27654,1bPoSOL2emkTpRHI2DdxVs,B-complex,Beautiful Lies VIP,Beautiful Lies - VIP,41,419310,False,0.477,0.834,2,-5.751,1,0.049,0.000347,0.834,0.123,0.123,173.989,4,drum-and-bass
58330,33LTCp3HM36k7KuB7M3IHd,Rammstein,Herzeleid (XXV Anniversary Edition – Remastered),Heirate mich,63,284648,False,0.651,0.867,6,-7.88,0,0.103,0.000857,0.000297,0.202,0.479,94.783,4,industrial
107815,1GbyYL0B0Mjn3kSbrEwKKI,Frankie Goes To Hollywood,Welcome To The Pleasuredome,The Power Of Love,63,332506,False,0.46,0.162,5,-17.142,0,0.0335,0.376,1.25e-05,0.181,0.102,122.767,4,synth-pop
37805,7DByUXWmz1lQau0HLmdg1v,Anitta;Missy Elliott,Lobby,Lobby,70,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,funk
30261,57DvS05QXPhreHY6cpQNiI,Becky Hill;David Guetta,pov: it's 2021,Remember,0,161386,False,0.626,0.864,8,-3.12,1,0.0378,0.0682,0.0,0.087,0.555,123.833,4,edm
95766,3RlnGjaHsos1NEsSXRtKOG,Ronald Borjas,Ya Lo Decidí,Ya Lo Decidí,28,214846,False,0.766,0.839,1,-3.467,1,0.0566,0.441,0.0,0.0783,0.753,96.002,4,salsa
2760,37mfTcSlX60JtAvAETytGs,I DONT KNOW HOW BUT THEY FOUND ME,Choke,Choke,71,195717,False,0.516,0.85,4,-3.909,0,0.0706,0.00139,0.0,0.296,0.583,120.324,4,alt-rock
11889,7IdsQ9RBj5X5k7BZkd1mxk,Maurizio Malagnini;Peter Salem,Call the Midwife,The Adventure of Life,27,203248,False,0.128,0.324,7,-12.75,1,0.0379,0.806,0.961,0.111,0.0382,83.327,3,british
21026,6CufiqOcVejTejlXDqDb4j,Burna Boy,New Pop Classics,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
88961,3Q7o2zzvXj7QiSCumjBpvu,Becky G;Daviles de Novelda,AMANTES,AMANTES,72,180153,False,0.736,0.77,10,-6.477,0,0.0335,0.109,0.0,0.112,0.837,135.018,4,reggae
37148,33OY3KMWt0DbXJoP7r8MaA,Stevie Wonder,Silent Night,What Christmas Means To Me - Single Version / Mono,0,148146,False,0.545,0.7,5,-6.961,1,0.0323,0.0982,0.0,0.1,0.799,83.506,4,funk
30238,1E5HgkRXPToIFhFeMn4JSx,DJ Snake;Justin Bieber,Fiesta de disfraces vol. II,Let Me Love You,0,205946,False,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892,4,edm
62478,0kI9yiyBUK4eiDz6Q38XXu,Mr.Children,深海,Mirror,39,178733,False,0.647,0.527,0,-8.454,1,0.0273,0.232,0.0,0.098,0.659,110.618,4,j-pop
24350,4I7ocWqAIdrn7zpNUBoP3P,Dopplereffekt,Gesamtkunstwerk,Superior Race,31,190106,False,0.54,0.624,6,-12.071,0,0.212,0.0037,0.83,0.0738,0.109,134.358,4,detroit-techno
98179,6JX1kY1y5qEcHcq7B9gcya,Idina Menzel;Kristen Bell;Cast of Frozen Fever,"Making Today a Perfect Day (From ""Frozen Fever"")","Making Today a Perfect Day - From ""Frozen Fever""",52,301586,False,0.653,0.508,0,-6.22,1,0.105,0.691,0.0,0.074,0.503,117.986,4,show-tunes
38742,2jvRE2M0qCSiEhRQP3aEUu,The Chesterfield Kings,Psychedelic Sunrise,Up and Down,26,212400,False,0.486,0.961,9,-2.596,1,0.0378,0.00842,0.0,0.068,0.722,135.024,4,garage
112616,3Tzgr29bOgxVSS71bpeoLJ,Kamufle;Contra;Mali Green,RUH,RUH,39,181588,True,0.806,0.929,10,-3.475,0,0.232,0.164,0.0,0.157,0.332,105.07,4,turkish
14327,2Jls1YCJJovBR5DcGZp4fL,The Wiggles,Calm & Quiet: Soothing Sounds for Relaxing Baby,Bobby Shafto Slumber: Piano Slumber,37,137610,False,0.265,0.0487,7,-18.768,1,0.0345,0.941,0.779,0.116,0.037,96.614,4,children
8628,79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",I Can't Stop Loving You,63,256120,False,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,3,blues
29461,73dPS5EDSbo40IdutOvhJ6,LAYZ,SPARK,SPARK,48,142400,False,0.565,0.995,6,-0.101,0,0.77,0.0129,0.346,0.359,0.118,149.97,4,dubstep
107929,6sNcc3yspru85FktrhU6w3,The Go-Go's,Vacation,Beatnik Beach,24,173666,False,0.362,0.927,9,-10.427,1,0.0444,0.000739,0.214,0.0748,0.785,174.293,4,synth-pop
103326,3tapCny0nCOaRYSxyYJew3,The Jackson 5,pov: you rock around the christmas tree,Frosty The Snowman,0,159413,False,0.672,0.615,0,-8.274,1,0.0293,0.471,0.0,0.0911,0.944,119.693,4,soul
68233,5gePc5Ns5P1lBhlSrItWwK,Jhayco;Ozuna,Hora del taco sin auto,Easy - Remix,1,219866,False,0.891,0.748,1,-3.844,0,0.0976,0.186,2.06e-06,0.133,0.401,94.06,4,latino
34025,3u6PxWema1snbjLbFEyjkJ,Seafret,Atlantis,Atlantis - Extra Sped Up Version,78,190758,False,0.471,0.561,11,-7.068,0,0.03,0.0472,1.91e-06,0.122,0.215,99.808,4,folk
107011,2aEuA8PSqLa17Y4hKPj5rr,Modern Talking,Let's Talk About Love,Cheri Cheri Lady,70,226333,False,0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,4,synth-pop
6564,2PENGNC4Du8VO4eihW5EEf,Cadaveria,The Shadows' Madame,Spell,18,314920,False,0.21,0.99,7,-4.503,1,0.24,0.000117,0.0,0.38,0.117,89.588,4,black-metal
22487,49C1H9sjSxchlNue2f0M7R,Leprosy,Llora Chiapas,Llora Chiapas,24,243902,False,0.345,0.878,5,-7.674,0,0.0736,0.00191,0.9,0.086,0.183,139.293,4,death-metal
44487,1xQZtbipNLyP0e0hihE5F5,Nickelback,Dark Horse,I'd Come for You,58,262626,False,0.489,0.748,2,-5.488,1,0.0311,0.033,0.0,0.144,0.385,147.998,4,grunge
100748,3wa9azKePGkp13yuzZw8Pf,Lasse Stefanz,Truckstop,Clap Your Hands and Stamp Your Feet,33,216053,False,0.752,0.822,9,-5.111,1,0.0355,0.0244,0.524,0.104,0.963,134.081,4,ska
9772,2HXP76Wr3Cj2MlUQVa80Zi,Maneva,8 Anos (Ao Vivo),Vem Ver (Ao Vivo),44,244837,False,0.624,0.366,4,-12.763,0,0.037,0.643,5.38e-05,0.684,0.677,135.842,4,brazil
101979,1BgBMNz7I7NEOiP1LNeKqh,Granular,H2O,Brown Noise - Waterfall,32,113569,False,0.0,0.514,2,-19.258,0,0.0,0.272,0.968,0.111,0.0,0.0,0,sleep
41177,6EoiR6dKn5vysZDVupo4KO,Håkan Hellström,Tro på livet,Tro på livet,30,266874,False,0.167,0.398,8,-8.578,1,0.0324,0.646,0.0199,0.111,0.217,71.185,4,goth
38695,65wUTKQhWvfCoGvayiJ4du,The Buckinghams,Kind of a Drag (Expanded Edition),Kind of a Drag,28,127160,False,0.298,0.634,7,-9.309,1,0.0407,0.799,1.51e-05,0.299,0.381,138.693,4,garage
29043,02LmGMJG5yi2K1RsBOj5cR,ILLENIUM;Sueco;Trippie Redd,Gaming Songs 2022: Hard Mode,Story of My Life,0,191124,False,0.521,0.892,3,-4.029,1,0.0433,0.0539,0.0,0.117,0.369,96.991,4,dubstep
464,4khjcb6Mpegp1N596VVyf6,Clementine Duo,There She Goes,There She Goes,54,145514,False,0.724,0.28,9,-12.788,1,0.0303,0.755,0.0,0.326,0.527,106.966,4,acoustic
94640,3Y6L3oiUydJIGsmk5zHlDO,Sik World,Still Lost,Idgaf,56,231857,True,0.789,0.652,4,-9.734,0,0.219,0.38,1.57e-06,0.091,0.0775,139.981,4,sad
36171,5G0oVoL309pqsvGDzhMOwx,French 79;Sarah Rebecca,Olympic,Diamond Veins (feat. Sarah Rebecca),61,240120,False,0.498,0.54,8,-10.441,1,0.0302,0.000499,0.436,0.132,0.0944,100.024,4,french
111031,3WB7O03A1THXLWrtAERC3h,FKA twigs;The Weeknd,Hit After Hit,tears in the club,0,196760,True,0.616,0.717,8,-6.178,1,0.11,0.194,9.81e-05,0.0731,0.72,167.99,4,trip-hop
70310,1Y0fRLWX9rLGccCCRFGzXf,Bii,無畏的明天,無畏的明天,27,215374,False,0.602,0.749,1,-4.326,1,0.038,0.018,1.87e-05,0.176,0.324,119.98,4,mandopop
9767,1muDihGGBhRaAfIDUA93z9,Major RD;Rock Danger;Sain;Chris MC;El Lif Beatz;KIB7,Troféu,Deixa a Luz Baixa,44,210783,True,0.745,0.638,1,-7.012,1,0.284,0.44,0.000109,0.229,0.488,130.022,4,brazil
105391,5yaVGvqVj52SDiDJT52ExL,Justnormal,Gossamer,Skipping Rocks,11,141500,False,0.661,0.714,1,-7.915,1,0.0445,0.91,0.872,0.102,0.061,80.008,4,study
107588,3BI2g3xaStu8g05HwlnvaZ,The Go-Go's,Countdown To The New Year,We Got The Beat,27,150413,False,0.599,0.985,2,-6.696,1,0.0492,0.0328,0.0568,0.0318,0.547,152.042,4,synth-pop
86072,5UFr6YU5nIp1ra63Yusbp7,Yeah Yeah Yeahs;A-Trak,Twisted Halloween Hits,Heads Will Roll - A-Trak Remix,0,383893,False,0.738,0.607,8,-3.933,0,0.0845,0.00746,0.324,0.0699,0.78,131.982,4,punk
64014,0Gjsi7CQFsZJUIUKQIxYQP,Michael Bublé,Cuddle Up Christmas,It's Beginning to Look a Lot Like Christmas,0,206346,False,0.335,0.232,4,-11.042,1,0.0334,0.908,8.89e-06,0.292,0.381,93.391,3,jazz
109010,0B2GWovtxzsh0a02PBbNl7,Avoure,U,Aura,56,521401,False,0.684,0.604,11,-9.088,0,0.0471,0.00487,0.887,0.0456,0.364,123.0,4,techno
35204,1XzGyGDCcWdUK61Fl4QwSK,Zé Vaqueiro,O Original,Na Boca do Litrão,45,156800,False,0.703,0.909,5,-2.152,1,0.0422,0.393,0.0,0.154,0.824,150.175,4,forro
83648,4b6FjQyawYRV1qZHp8x8W7,Aly & Fila;Billy Gillies,FSOE - October 2022,Kings (FSOE750 Anthem),0,171428,False,0.37,0.993,1,-4.213,0,0.0753,0.000122,0.916,0.347,0.138,139.891,4,progressive-house
46053,2sEeRKHVONJGERCwKCW2ix,Gammer,THE DROP,THE DROP,43,232158,True,0.565,0.988,9,-1.448,1,0.145,0.00664,0.0508,0.0935,0.0316,150.05,4,happy
31492,2Cml5xVHB01Y7PZ20smxhP,Felix Jaehn;The Stickmen Project;Calum Scott,Arbeitsmusik Herbst/Winter 2022/2023,Rain In Ibiza,0,141931,False,0.654,0.898,7,-5.964,1,0.0413,0.0844,0.0347,0.316,0.722,123.996,4,electro
77194,78cj9M7Ax1yDruYM5QeG39,Edson & Hudson,O Chão Vai Tremer,Porta-Retrato,52,212186,False,0.76,0.652,1,-5.935,1,0.0282,0.312,9.15e-06,0.101,0.695,120.025,4,pagode
54799,4km48etH1GAlDCVa6Lli37,Susumu Yokota,Sakura,Genshi,12,297186,False,0.441,0.571,5,-17.428,1,0.0316,0.261,0.932,0.0734,0.219,120.003,4,idm
82832,3KGvLzxVR60a5ZvkbKTGc1,Joe Jackson,Night And Day,Steppin' Out - Demo Version,23,252800,False,0.607,0.578,0,-8.318,1,0.0259,0.167,0.000702,0.142,0.614,152.617,4,power-pop
61405,2ILLt9sot7QqL67J318lpY,PASSEPIED,ネオンと虎,オレンジ,23,301906,False,0.689,0.797,10,-3.641,1,0.0288,0.0136,0.00929,0.13,0.859,119.929,4,j-idol
26385,6a3xqhCi90JZzEIJpUbtr4,Maciej Stuhr,Coco (Ścieżka dźwiękowa polskiej wersji),"Wie każdy, kim jest Juanita",23,75146,False,0.53,0.15,9,-18.825,1,0.276,0.931,0.000103,0.111,0.282,171.434,3,disney
32215,7sn0OyaKn1XKx18JjUZkSw,DJ Snake,Encore,Propaganda,51,249600,False,0.653,0.928,1,-3.937,1,0.0885,0.00213,0.601,0.649,0.239,150.025,4,electronic
100494,3hRYclNZMNerPM1oUzBLcz,Lasse Stefanz,Texas,Skåneland,36,172773,False,0.668,0.974,9,-5.882,1,0.043,0.00265,0.000128,0.259,0.943,147.029,4,ska
63563,5qm0KiVKMXW1kq6VrnIhz5,Eric Johnson,Ah Via Musicom,Cliffs Of Dover - Instrumental,59,249767,False,0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,4,j-rock
112529,5oPk8O1fxbxRV73w1kBE7S,Hidra,Hedefte,Hedefte,40,243272,False,0.766,0.803,11,-5.03,0,0.289,0.216,0.0,0.134,0.341,91.94,4,turkish
80377,4LK8863ScRhhT6hitFfBI5,Santhosh Narayanan;Pradeep;Priya Hemesh,Manithan (Original Motion Picture Soundtrack),Aval,61,266639,False,0.324,0.457,2,-8.683,1,0.0336,0.271,2.65e-05,0.433,0.225,99.902,4,pop-film
84294,5v0kY5pPWOL5mUCmq4jHUB,Cem Karaca,Merhaba Gençler,Hep Kahır,37,321146,False,0.297,0.626,4,-6.432,0,0.0629,0.728,3.54e-05,0.0864,0.496,67.926,4,psych-rock
69936,5dgeIhRpXiMw8mGRbPonfP,K. S. Harisankar,Neermathalam Poothakalam (Original Motion Picture Soundtrack),Anivagha Poothoren,18,137933,False,0.411,0.411,4,-9.084,1,0.0326,0.512,0.0326,0.097,0.191,72.132,4,malay
4658,3JggEa7I7tBPQhiOfexL6U,Max Richter,The Leftovers: Season 1 (Music from the HBO Series),She Remembers,50,229403,False,0.0602,0.0276,6,-21.52,0,0.0528,0.979,0.962,0.101,0.0356,67.561,3,ambient
58672,5RWO5sai1C3Vprd2E0Msb2,Rotersand,1023,Lost,22,305106,False,0.481,0.977,4,-4.777,0,0.0712,0.00685,0.116,0.459,0.23,126.003,4,industrial
111470,5zRIEqSMJmUS71WsriJVdG,Faithless,Everything Will Be Alright Tomorrow,Seven,20,242626,False,0.548,0.614,8,-9.696,1,0.0266,0.121,0.916,0.123,0.365,136.005,4,trip-hop
59706,37zB5H8VMrQcippi15J4Jm,mHz,Hg,Prima Materia,0,266663,False,0.559,0.923,10,-9.051,1,0.137,0.0184,0.769,0.221,0.12,128.958,4,iranian
78187,0f8QIJHHpYxTPALMPrUIr7,Höhner,Karneval 2022 100%,Schenk mir dein Herz - Radio Edit,0,209933,False,0.576,0.857,2,-4.972,1,0.0539,0.125,0.0,0.319,0.528,133.309,4,party
109107,5pK2Elt8xOENwe8xAGfASw,NTO;Monolink,Apnea,Beyond Control,51,332146,False,0.669,0.619,8,-9.02,0,0.0376,0.00122,0.817,0.0677,0.432,124.994,4,techno
