track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,raw_dataset_genre,preview_url,artwork_url
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,Alternative,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/59/0c/d7/590cd74f-9afc-9cbb-73b1-56958a41d625/mzaf_9220213234167574850.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/5d/b2/7e/5db27e44-e8ac-4099-1a4e-5ff8264f14ec/VEATP-39813.jpg/100x100bb.jpg
4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/58/35/66/583566f8-bba0-6731-9f76-6fd1f2e6acc5/mzaf_7687460184278032883.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/5a/78/71/5a787169-1cd4-40fe-b73b-02ea5787a7e2/artwork.jpg/100x100bb.jpg
1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/5a/07/ae/5a07aed6-8c42-dd25-366d-452ef1f7257b/mzaf_1490525283972211351.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/09/8d/89/098d89e3-eff5-e892-0c4b-ba9c012bfc6b/195497785490.jpg/100x100bb.jpg
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,Soundtrack,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/38/7d/49/387d4959-a0ad-c4ff-36af-e00fa7ce8d0b/mzaf_14326388611510586450.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ea/93/91/ea9391c7-f9f6-033f-c97a-66c415032692/794043197215.jpg/100x100bb.jpg
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5c/64/7a/5c647a5d-5d14-3a48-616e-36363cb2ec9d/mzaf_1837979177806414266.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/82/f2/6a/82f26ae6-f5c4-4ae7-74c0-72c266cd8406/00602557261615.rgb.jpg/100x100bb.jpg
01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,Singer/Songwriter,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/59/21/c5/5921c5b2-7511-308e-952c-2a9963585240/mzaf_14145814135692863844.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4d/0e/05/4d0e054b-973e-d6b7-d0d8-8bb173a78008/artwork.jpg/100x100bb.jpg
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/61/59/6d/61596d88-b3fd-bcf0-2572-f805d976d291/mzaf_5012302252314646019.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f4/19/56/f41956df-120e-321f-a1cb-626b48c14ab6/886444314022.jpg/100x100bb.jpg
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/63/7d/21/637d21cb-2e4b-a845-bd85-fb327e04464a/mzaf_14367811252980822947.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/ac/ec/f8acec21-40e2-fa91-fe61-1be3cbc1467a/mzi.jokpbtnf.jpg/100x100bb.jpg
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/83/f9/90/83f99033-fb9d-58d8-6e17-df35b6ba12df/mzaf_2412801904124381815.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/ac/ec/f8acec21-40e2-fa91-fe61-1be3cbc1467a/mzi.jokpbtnf.jpg/100x100bb.jpg
7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/20/92/f8/2092f8a2-3ef0-f9c1-261d-a878edacde0d/mzaf_6453481447743832.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music7/v4/e0/fb/92/e0fb9234-6fcc-c003-5343-762d4eeea661/859714601658_cover.jpg/100x100bb.jpg
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ca/2b/20/ca2b201e-739c-6500-217a-ad6a7864b462/mzaf_8357718588881683590.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/fe/aa/f8feaae7-f0ec-ab22-c06f-1ca45232ea14/21UM1IM13834.rgb.jpg/100x100bb.jpg
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5d/f4/11/5df411a7-7de9-a768-3eef-1b74cc77efcb/mzaf_2117023069067957023.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/ac/8a/2cac8ac4-cb90-ac44-0808-a8e3ccbe05d0/075679962577.jpg/100x100bb.jpg
4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,198712,False,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/66/cc/45/66cc45b5-24c2-f8fb-fb72-97c43c4b6547/mzaf_11729062379016090576.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/82/00/bf/8200bff8-53f0-50fc-1ab4-240878fb0ede/7330065079943.png/100x100bb.jpg
0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/46/14/7a/46147ad4-db67-714e-08f7-1b38b99f8f81/mzaf_9456879671999258256.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/db/06/02/db06029d-a915-99d8-a55d-5b720800b296/artwork.jpg/100x100bb.jpg
4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5c/64/7a/5c647a5d-5d14-3a48-616e-36363cb2ec9d/mzaf_1837979177806414266.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/82/f2/6a/82f26ae6-f5c4-4ae7-74c0-72c266cd8406/00602557261615.rgb.jpg/100x100bb.jpg
1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,Alternative,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/3f/b2/12/3fb21243-3514-d605-765f-668ca6950e4e/mzaf_9689496126599507838.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/a6/ed/1a/a6ed1a4f-88d0-32be-6856-cabcb0d8900b/dj.ynctqhby.jpg/100x100bb.jpg
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/bb/ce/a3/bbcea395-ea99-f0ca-b055-70753045f9b7/mzaf_13638875058327744217.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/0a/ab/10/0aab106a-2afd-846a-03b2-5739c48b447f/cover.jpg/100x100bb.jpg
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/13/1b/22/131b225b-f102-6124-75ff-1af37ccea057/mzaf_348460425920124173.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c5/cb/e0/c5cbe070-65e4-f707-531f-8db21bae0b37/cover.jpg/100x100bb.jpg
2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/83/f9/90/83f99033-fb9d-58d8-6e17-df35b6ba12df/mzaf_2412801904124381815.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/ac/ec/f8acec21-40e2-fa91-fe61-1be3cbc1467a/mzi.jokpbtnf.jpg/100x100bb.jpg
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,Singer/Songwriter,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/31/9f/2e/319f2e82-85ef-342e-79b5-559eddfde60b/mzaf_15134256222325615379.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/40/ba/0c/40ba0c19-e901-81f3-c7bc-4a4b202d5ba5/2429825.jpg/100x100bb.jpg
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/63/7d/21/637d21cb-2e4b-a845-bd85-fb327e04464a/mzaf_14367811252980822947.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/ac/ec/f8acec21-40e2-fa91-fe61-1be3cbc1467a/mzi.jokpbtnf.jpg/100x100bb.jpg
210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,Singer/Songwriter,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1d/36/1e/1d361e92-54ae-7b52-deba-59470f16842d/mzaf_8639038071482556049.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/07/62/6e/07626e49-93e1-4be1-f3b7-b72fef517439/2357723.jpg/100x100bb.jpg
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/61/59/6d/61596d88-b3fd-bcf0-2572-f805d976d291/mzaf_5012302252314646019.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f4/19/56/f41956df-120e-321f-a1cb-626b48c14ab6/886444314022.jpg/100x100bb.jpg
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,Pop,acoustic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/24/e1/ec/24e1ec92-ae06-5e34-198d-daf43f7e6137/mzaf_13274914157391185341.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/ac/8a/2cac8ac4-cb90-ac44-0808-a8e3ccbe05d0/075679962577.jpg/100x100bb.jpg
